工程採購數量計算表,,,,,,,,,,,,,,,,,,,,,,,,
物流中心,,,,,,,,,,,,,,,,,,,,,,,,
輕隔間數量計算表 (全棟合併),,,,,,,,,,,,,,,,,,,,,,,,
樓別名稱,,輕隔間牆,,,,,,門開口、窗開口,,,,,,,輕隔間牆面積,,,,,,,,,
編號,空間名稱,空間周長,輕隔間牆類型,牆長,牆高,面積,小計,名稱,數量,長,高,面積,小計,總計,12cm輕隔間,79mm 內部隔板 (1-hr),135mm 內部隔板 (2-hr),138mm 內部隔板 (1-hr),玻璃隔間1CM,廁所隔牆2.5cm,廁所隔牆3cm,輕隔間 (1hr) 79mm,輕隔間 (1hr) 138mm,輕隔間 (2hr) 135mm
F1121,男廁,,廁所隔牆3cm,=1.33+1.07,2.19,=E214*F214,=G214,衛生間門60*220,1,0.60,2.20,=J214*K214*L214,=M214,=H214-N214,,,,,,,=O214,,,
F1122,A安全梯(無障礙樓梯),,,,,,,,,,,,,,,,,,,,,,,
F1123,A無障礙電梯,,,,,,,,,,,,,,,,,,,,,,,
F1124,寢室【2床】,,,,,,,,,,,,,,,,,,,,,,,
F1125,浴廁,,,,,,,,,,,,,,,,,,,,,,,
F1126,寢室【1床】,,,,,,,,,,,,,,,,,,,,,,,
F1127,寢室【1床】,,,,,,,,,,,,,,,,,,,,,,,
F1128,寢室【1床】,,,,,,,,,,,,,,,,,,,,,,,
F1129,寢室【2床】,,,,,,,,,,,,,,,,,,,,,,,
F1130,陽台,,,,,,,,,,,,,,,,,,,,,,,
F1131,浴廁,,,,,,,,,,,,,,,,,,,,,,,
F1132,浴廁,,,,,,,,,,,,,,,,,,,,,,,
F1133,浴廁,,,,,,,,,,,,,,,,,,,,,,,
F1134,浴廁,,,,,,,,,,,,,,,,,,,,,,,
F1135,餐廳/交誼空間,,,,,,,,,,,,,,,,,,,,,,,
F1136,動態休閒區,,,,,,,,,,,,,,,,,,,,,,,
F1137,A區走廊,,,,,,,,,,,,,,,,,,,,,,,
F1138,洗漱區,,,,,,,,,,,,,,,,,,,,,,,
F1139,靜態休閒區,,,,,,,,,,,,,,,,,,,,,,,
F1140,A區走廊,,,,,,,,,,,,,,,,,,,,,,,
F1141,A區走廊,,,,,,,,,,,,,,,,,,,,,,,
F1142,無障礙浴室前室,,,,,,,,,,,,,,,,,,,,,,,
F1145,宗教閱覽室,,,,,,,,,,,,,,,,,,,,,,,
F1146,宗教閱覽室,,,,,,,,,,,,,,,,,,,,,,,
F1147,B區走廊,,,,,,,,,,,,,,,,,,,,,,,
F1041,洗衣房/烘衣房,,,,,,,,,,,,,,,,,,,,,,,
F1042,污衣室,,,,,,,,,,,,,,,,,,,,,,,
F1043,污物室,,,,,,,,,,,,,,,,,,,,,,,
F1044,電氣室,,,,,,,,,,,,,,,,,,,,,,,
F1045,B區走廊,,,,,,,,,,,,,,,,,,,,,,,
F1058,無障礙浴室前室,,,,,,,,,,,,,,,,,,,,,,,
F1059,宗教閱覽室,,,,,,,,,,,,,,,,,,,,,,,
F1060,廁所,,,,,,,,,,,,,,,,,,,,,,,
F1148,靜態休閒區,,,,,,,,,,,,,,,,,,,,,,,
F553,寢室【6床】,,,,,,,,,,,,,,,,,,,,,,,
F555,員工休息室,,,,,,,,,,,,,,,,,,,,,,,
F556,病歷室,,,,,,,,,,,,,,,,,,,,,,,
F557,準備室,,,,,,,,,,,,,,,,,,,,,,,
F558,工作站,,,,,,,,,,,,,,,,,,,,,,,
F559,醫材儲藏室,,,,,,,,,,,,,,,,,,,,,,,
F560,餐廳/交誼空間,,,,,,,,,,,,,,,,,,,,,,,
F561,動態休閒區,,,,,,,,,,,,,,,,,,,,,,,
F564,A區走廊,,,,,,,,,,,,,,,,,,,,,,,
F569,儲藏室,,,,,,,,,,,,,,,,,,,,,,,
F570,寢室【6床】,,,,,,,,,,,,,,,,,,,,,,,
F571,寢室【6床】,,,,,,,,,,,,,,,,,,,,,,,
F572,寢室【6床】,,,,,,,,,,,,,,,,,,,,,,,
F573,寢室【6床】,,,,,,,,,,,,,,,,,,,,,,,
F574,寢室【6床】,,,,,,,,,,,,,,,,,,,,,,,
F575,寢室【6床】,,,,,,,,,,,,,,,,,,,,,,,
F576,寢室【6床】,,,,,,,,,,,,,,,,,,,,,,,
F577,無障礙浴室,,,,,,,,,,,,,,,,,,,,,,,
F578,廁所,,,,,,,,,,,,,,,,,,,,,,,
F579,廁所,,,,,,,,,,,,,,,,,,,,,,,
F580,廁所,,,,,,,,,,,,,,,,,,,,,,,
F581,廁所,,,,,,,,,,,,,,,,,,,,,,,
F582,廁所,,,,,,,,,,,,,,,,,,,,,,,
F583,廁所,,,,,,,,,,,,,,,,,,,,,,,
F584,浴廁,,,,,,,,,,,,,,,,,,,,,,,
F586,廁所,,,,,,,,,,,,,,,,,,,,,,,
F587,浴廁,,,,,,,,,,,,,,,,,,,,,,,
F589,浴廁,,,,,,,,,,,,,,,,,,,,,,,
F590,浴廁,,,,,,,,,,,,,,,,,,,,,,,
F591,浴廁,,,,,,,,,,,,,,,,,,,,,,,
F592,浴廁,,,,,,,,,,,,,,,,,,,,,,,
F593,浴廁,,,,,,,,,,,,,,,,,,,,,,,
F594,浴廁,,,,,,,,,,,,,,,,,,,,,,,
F595,浴廁,,,,,,,,,,,,,,,,,,,,,,,
F596,浴廁,,,,,,,,,,,,,,,,,,,,,,,
F597,浴廁,,,,,,,,,,,,,,,,,,,,,,,
F598,浴廁,,,,,,,,,,,,,,,,,,,,,,,
F599,寢室【1床】,,,,,,,,,,,,,,,,,,,,,,,
F600,寢室【1床】,,,,,,,,,,,,,,,,,,,,,,,
F601,寢室【1床】,,,,,,,,,,,,,,,,,,,,,,,
F602,寢室【1床】,,,,,,,,,,,,,,,,,,,,,,,
F603,寢室【1床】,,,,,,,,,,,,,,,,,,,,,,,
F604,寢室【1床】,,,,,,,,,,,,,,,,,,,,,,,
F605,寢室【1床】,,,,,,,,,,,,,,,,,,,,,,,
F606,寢室【1床】,,,,,,,,,,,,,,,,,,,,,,,
F607,寢室【1床】,,,,,,,,,,,,,,,,,,,,,,,
F608,寢室【1床】,,,,,,,,,,,,,,,,,,,,,,,
F609,寢室【1床】,,,,,,,,,,,,,,,,,,,,,,,
F666,無障礙廁所,,,,,,,,,,,,,,,,,,,,,,,
F668,隔離室,,,,,,,,,,,,,,,,,,,,,,,
F669,前室,,,,,,,,,,,,,,,,,,,,,,,
F671,B區走廊,,,,,,,,,,,,,,,,,,,,,,,
F672,B區走廊,,,,,,,,,,,,,,,,,,,,,,,
F673,B梯廳,,,,,,,,,,,,,,,,,,,,,,,
F674,B無障礙電梯,,,,,,,,,,,,,,,,,,,,,,,
F675,B安全梯(無障礙樓梯),,,,,,,,,,,,,,,,,,,,,,,
F677,洗漱區,,,,,,,,,,,,,,,,,,,,,,,
F678,A區走廊,,,,,,,,,,,,,,,,,,,,,,,
